DATE,TRFVOLUSM227SFWA
2000-01-01,227235.0
2000-02-01,228727.0
2000-03-01,230237.0
2000-04-01,229068.0
2000-05-01,229651.0
2000-06-01,230024.0
2000-07-01,228840.0
2000-08-01,229339.0
2000-09-01,231166.0
2000-10-01,230372.0
2000-11-01,229865.0
2000-12-01,224132.0
2001-01-01,231442.0
2001-02-01,230672.0
2001-03-01,231165.0
2001-04-01,232994.0
2001-05-01,232201.0
2001-06-01,231645.0
2001-07-01,232941.0
2001-08-01,233413.0
2001-09-01,232276.0
2001-10-01,233772.0
2001-11-01,236644.0
2001-12-01,236694.0
2002-01-01,236712.0
2002-02-01,238125.0
2002-03-01,235504.0
2002-04-01,236391.0
2002-05-01,237506.0
2002-06-01,238073.0
2002-07-01,237780.0
2002-08-01,239615.0
2002-09-01,239653.0
2002-10-01,237938.0
2002-11-01,238385.0
2002-12-01,239969.0
2003-01-01,239077.0
2003-02-01,233578.0
2003-03-01,236830.0
2003-04-01,238036.0
2003-05-01,239910.0
2003-06-01,241491.0
2003-07-01,243389.0
2003-08-01,242803.0
2003-09-01,243182.0
2003-10-01,245423.0
2003-11-01,243497.0
2003-12-01,243315.0
2004-01-01,243817.0
2004-02-01,244576.0
2004-03-01,248689.0
2004-04-01,248376.0
2004-05-01,246159.0
2004-06-01,245171.0
2004-07-01,247686.0
2004-08-01,247344.0
2004-09-01,247916.0
2004-10-01,247883.0
2004-11-01,247656.0
2004-12-01,248685.0
2005-01-01,247614.0
2005-02-01,250015.0
2005-03-01,249174.0
2005-04-01,249024.0
2005-05-01,250452.0
2005-06-01,251531.0
2005-07-01,250663.0
2005-08-01,249458.0
2005-09-01,245820.0
2005-10-01,245957.0
2005-11-01,250704.0
2005-12-01,250380.0
2006-01-01,255482.0
2006-02-01,250785.0
2006-03-01,250866.0
2006-04-01,250631.0
2006-05-01,250030.0
2006-06-01,250453.0
2006-07-01,249092.0
2006-08-01,249501.0
2006-09-01,250388.0
2006-10-01,251413.0
2006-11-01,252836.0
2006-12-01,253944.0
2007-01-01,254533.0
2007-02-01,249391.0
2007-03-01,254292.0
2007-04-01,251375.0
2007-05-01,254131.0
2007-06-01,253200.0
2007-07-01,252333.0
2007-08-01,254221.0
2007-09-01,253290.0
2007-10-01,253767.0
2007-11-01,252121.0
2007-12-01,247460.0
2008-01-01,253376.0
2008-02-01,250551.0
2008-03-01,248981.0
2008-04-01,249101.0
2008-05-01,248415.0
2008-06-01,246701.0
2008-07-01,245645.0
2008-08-01,244681.0
2008-09-01,245948.0
2008-10-01,246795.0
2008-11-01,246244.0
2008-12-01,246829.0
2009-01-01,245974.0
2009-02-01,248466.0
2009-03-01,244904.0
2009-04-01,247873.0
2009-05-01,246794.0
2009-06-01,246498.0
2009-07-01,247534.0
2009-08-01,246986.0
2009-09-01,246455.0
2009-10-01,244074.0
2009-11-01,246232.0
2009-12-01,244784.0
2010-01-01,242519.0
2010-02-01,241803.0
2010-03-01,248076.0
2010-04-01,249112.0
2010-05-01,247042.0
2010-06-01,247723.0
2010-07-01,249293.0
2010-08-01,249208.0
2010-09-01,249084.0
2010-10-01,249386.0
2010-11-01,247614.0
2010-12-01,245054.0
2011-01-01,246965.0
2011-02-01,245208.0
2011-03-01,246519.0
2011-04-01,245553.0
2011-05-01,243131.0
2011-06-01,245757.0
2011-07-01,245196.0
2011-08-01,244641.0
2011-09-01,245393.0
2011-10-01,245952.0
2011-11-01,246579.0
2011-12-01,249896.0
2012-01-01,249790.0
2012-02-01,250746.0
2012-03-01,249737.0
2012-04-01,246547.0
2012-05-01,248096.0
2012-06-01,247577.0
2012-07-01,245308.0
2012-08-01,246538.0
2012-09-01,245805.0
2012-10-01,245176.0
2012-11-01,247779.0
2012-12-01,245651.0
2013-01-01,250411.0
2013-02-01,249845.0
2013-03-01,248349.0
2013-04-01,247844.0
2013-05-01,249071.0
2013-06-01,249233.0
2013-07-01,247384.0
2013-08-01,250869.0
2013-09-01,249145.0
2013-10-01,249407.0
2013-11-01,249394.0
2013-12-01,245957.0
2014-01-01,246531.0
2014-02-01,249499.0
2014-03-01,251120.0
2014-04-01,251959.0
2014-05-01,252289.0
2014-06-01,252054.0
2014-07-01,252111.0
2014-08-01,252472.0
2014-09-01,253485.0
2014-10-01,254117.0
2014-11-01,253099.0
2014-12-01,255291.0
2015-01-01,254967.0
2015-02-01,254414.0
2015-03-01,255735.0
2015-04-01,257796.0
2015-05-01,257531.0
2015-06-01,258177.0
2015-07-01,258012.0
2015-08-01,259020.0
2015-09-01,258671.0
2015-10-01,257672.0
2015-11-01,260006.0
2015-12-01,261788.0
2016-01-01,262611.0
2016-02-01,261752.0
2016-03-01,262392.0
2016-04-01,264735.0
2016-05-01,264565.0
2016-06-01,264364.0
2016-07-01,265645.0
2016-08-01,264145.0
2016-09-01,263573.0
2016-10-01,266664.0
2016-11-01,265314.0
2016-12-01,267135.0
2017-01-01,266509.0
2017-02-01,265234.0
2017-03-01,265123.0
2017-04-01,270670.0
2017-05-01,266153.0
2017-06-01,266376.0
2017-07-01,269548.0
2017-08-01,267211.0
2017-09-01,266506.0
2017-10-01,268718.0
2017-11-01,268212.0
2017-12-01,272319.0
2018-01-01,268361.0
2018-02-01,267857.0
2018-03-01,268556.0
2018-04-01,273320.0
2018-05-01,267556.0
2018-06-01,269325.0
2018-07-01,270452.0
2018-08-01,267900.0
2018-09-01,269877.0
2018-10-01,270155.0
2018-11-01,269052.0
2018-12-01,277525.0
2019-01-01,273421.0
2019-02-01,272141.0
2019-03-01,270920.0
2019-04-01,271928.0
2019-05-01,271676.0
2019-06-01,269353.0
2019-07-01,269606.0
2019-08-01,276508.0
2019-09-01,274195.0
2019-10-01,272669.0
2019-11-01,269800.0
2019-12-01,269023.0
2020-01-01,285452.0
2020-02-01,284040.0
2020-03-01,224870.0
2020-04-01,167174.0
2020-05-01,204304.0
2020-06-01,235771.0
2020-07-01,242159.0
2020-08-01,251358.0
2020-09-01,254995.0
2020-10-01,255505.0
2020-11-01,248198.0
2020-12-01,249061.0
2021-01-01,252702.0
2021-02-01,245840.0
2021-03-01,258686.0
2021-04-01,256647.0
2021-05-01,261366.0
2021-06-01,265907.0
2021-07-01,268899.0
2021-08-01,263810.0
2021-09-01,265052.0
2021-10-01,265589.0
2021-11-01,267303.0
2021-12-01,266539.0
2022-01-01,262682.0
2022-02-01,267848.0
2022-03-01,268103.0
2022-04-01,266100.0
2022-05-01,265748.0
2022-06-01,263849.0
2022-07-01,263304.0
2022-08-01,267354.0
2022-09-01,269221.0
2022-10-01,270175.0
2022-11-01,267155.0
2022-12-01,265697.0
2023-01-01,275744.0
2023-02-01,271808.0
2023-03-01,269077.0
2023-04-01,269405.0
2023-05-01,271791.0
2023-06-01,271424.0
2023-07-01,272373.0
2023-08-01,273252.0
2023-09-01,272504.0
2023-10-01,271939.0
2023-11-01,273020.0
2023-12-01,272415.0
2024-01-01,272445.0
